"","Num_episode","Title","Type","Year_launch","Rate","Votes","Saga","Airdate"
"1",1,"Homecoming","Mixed Canon/Filler","2007",8.2,728,"s1 Kazekage Rescue","2007-02-15"
"2",2,"The Akatsuki Makes Its Move","Mixed Canon/Filler","2007",8,575,"s1 Kazekage Rescue","2007-02-15"
"3",3,"The Results of Training","Mixed Canon/Filler","2007",8,508,"s1 Kazekage Rescue","2007-02-22"
"4",4,"The Jinchuriki of the Sand","Mixed Canon/Filler","2007",8.2,517,"s1 Kazekage Rescue","2007-03-01"
"5",5,"The Kazekage Stands Tall","Mixed Canon/Filler","2007",8.2,486,"s1 Kazekage Rescue","2007-03-15"
"6",6,"Mission Cleared","Mixed Canon/Filler","2007",8.2,480,"s1 Kazekage Rescue","2007-03-29"
"7",7,"Run, Kankuro","Mixed Canon/Filler","2007",7.8,457,"s1 Kazekage Rescue","2007-03-29"
"8",8,"Team Kakashi, Deployed","Mixed Canon/Filler","2007",7.7,437,"s1 Kazekage Rescue","2007-04-12"
"9",9,"The Jinchuriki's Tears","Mixed Canon/Filler","2007",7.6,434,"s1 Kazekage Rescue","2007-04-12"
"10",10,"Sealing Jutsu: Nine Phantom Dragons","Mixed Canon/Filler","2007",7.5,424,"s1 Kazekage Rescue","2007-04-19"
"11",11,"The Medical Ninja's Student","Mixed Canon/Filler","2007",7.7,425,"s1 Kazekage Rescue","2007-04-26"
"12",12,"The Retired Granny's Determination","Mixed Canon/Filler","2007",7.9,425,"s1 Kazekage Rescue","2007-05-03"
"13",13,"A Meeting With Destiny","Mixed Canon/Filler","2007",8.1,432,"s1 Kazekage Rescue","2007-05-10"
"14",14,"Naruto's Growth","Mixed Canon/Filler","2007",8.3,452,"s1 Kazekage Rescue","2007-05-17"
"15",15,"The Secret Weapon is Called....","Mixed Canon/Filler","2007",8.4,447,"s1 Kazekage Rescue","2007-05-24"
"16",16,"The Secret of Jinchuriki","Mixed Canon/Filler","2007",7.6,403,"s1 Kazekage Rescue","2007-05-31"
"17",17,"The Death of Gaara!","Mixed Canon/Filler","2007",7.8,405,"s1 Kazekage Rescue","2007-06-07"
"18",18,"Charge Tactic! Button Hook Entry!!","Mixed Canon/Filler","2007",7.7,407,"s1 Kazekage Rescue","2007-06-21"
"19",19,"Traps Activate! Team Guy's Enemies","Mixed Canon/Filler","2007",7.8,399,"s1 Kazekage Rescue","2007-07-05"
"20",20,"Hiruko vs. Two Kunoichi!","Manga Canon","2007",8.1,427,"s1 Kazekage Rescue","2007-07-19"
"21",21,"Sasori's Real Face","Manga Canon","2007",8.1,421,"s1 Kazekage Rescue","2007-07-26"
"22",22,"Chiyo's Secret Skills","Manga Canon","2007",7.9,413,"s1 Kazekage Rescue","2007-08-02"
"23",23,"Father and Mother","Manga Canon","2007",7.9,410,"s1 Kazekage Rescue","2007-08-02"
"24",24,"The Third Kazekage","Mixed Canon/Filler","2007",8.1,418,"s1 Kazekage Rescue","2007-08-09"
"25",25,"Three Minutes Between Life and Death","Mixed Canon/Filler","2007",7.9,414,"s1 Kazekage Rescue","2007-08-16"
"26",26,"Puppet Fight: 10 vs. 100!","Manga Canon","2007",8.4,656,"s1 Kazekage Rescue","2007-08-23"
"27",27,"Impossible Dream","Manga Canon","2007",8.5,474,"s1 Kazekage Rescue","2007-08-30"
"28",28,"Beasts! Alive Again!","Filler","2007",7.1,367,"s1 Kazekage Rescue","2007-09-13"
"29",29,"Kakashi Enlightened!","Manga Canon","2007",8.1,402,"s1 Kazekage Rescue","2007-09-27"
